1,test@test.com,test,test,test,departmentNone,4,"2016-12-08 18:12:43","2016-12-06 20:03:45","Salt Lake City, UT"
2,eric@example.com,eric,guymon,organ,departmentNone,4,"2016-12-08 18:12:43","2016-12-06 20:32:24","Salt Lake City, UT"
3,ian@example.com,ian,hale,organe,departmentNone,3,"2016-12-08 18:12:43","2016-12-06 22:29:12","Salt Lake City, UT"
4,example@example.com,example,example,example,departmentNone,6,"2016-12-08 18:12:43","2016-12-06 23:18:39","Salt Lake City, UT"
5,some@email.com,some,email,Google,"Art Club",3,"2016-12-08 18:12:43","2016-12-06 23:26:10","Salt Lake City, UT"
6,something@example.com,example,example,example,departmentNone,6,"2016-12-08 18:12:43","2016-12-06 23:21:33","Salt Lake City, UT"
7,poopants@crappy.com,poo,bird,"Oscar Myer","Art Club",1,"2016-12-08 18:12:43","2016-12-06 23:26:10","Salt Lake City, UT"
8,person@example.com,person,person2,organ,departmentNone,1,"2016-12-08 18:12:43","2016-12-06 23:22:03","Salt Lake City, UT"
9,fereshta@example.com,fereshta,example,amazon,Playroom,2,"2016-12-08 18:12:43","2016-12-08 18:12:43","Salt Lake City, UT"
10,mark@example.com,mark,mark,mark,departmentNone,8,"2016-12-08 18:12:43","2016-12-06 23:23:42","Salt Lake City, UT"
11,arthur@example,Arthur,something,"Weber State",departmentNone,8,"2016-12-08 18:12:43","2016-12-07 18:57:54","Salt Lake City, UT"
12,,,,,"Palmer Court - Donation Room",,"2016-12-08 18:12:43","2016-12-07 19:06:50","Salt Lake City, UT"
13,mick@example.com,mick,zeller,organ,"Singles Program",6,"2016-12-08 18:12:43","2016-12-07 19:06:50","Midvale, UT"
14,ted@example.com,ted,cowan,Weber,"Front Desk - Women",2,"2016-12-08 18:12:43","2016-12-07 19:13:25","Midvale, UT"
15,Jayme@example.com,Jayme,Something,home,"One Time Group - Kid&#39;s Activity",1,"2016-12-08 18:12:43","2016-12-07 21:14:49","Midvale, UT"
16,thing@example.com,first,last,organization,Warehouse,group,"2016-12-08 18:12:43","2016-12-07 21:26:47","Midvale, UT"
17,volunteer@example.com,name,name,place,Preschool,4,"2016-12-08 18:12:43","2016-12-07 21:28:05","Midvale, UT"
18,email@example.com,first,last,place,"One Time Group - Kid&#39;s Activity",2,"2016-12-08 18:12:43","2016-12-07 21:29:04","Midvale, UT"
19,none@email.com,none,none,none,"Teen Night Out",4,"2016-12-08 18:12:43","2016-12-07 21:29:43","Midvale, UT"
20,email@address.com,email,email,email,"On-Call Interpreter",5,"2016-12-08 18:12:43","2016-12-07 21:31:15","Midvale, UT"
21,test,test,te,tse,Preschool,4,"2016-12-08 19:48:31",,"Midvale, UT"
